Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-04 12:36:31,2018-09-04 12:37:50,1m - 18.633s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-09-04 12:36:32,2018-09-04 12:37:06,33.691s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 12:36:32,2018-09-04 12:36:47,14.485s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-04 12:36:47,2018-09-04 12:36:48,1.196s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 12:36:48,2018-09-04 12:37:06,17.521s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-09-04 12:37:06,2018-09-04 12:37:20,14.538s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 12:37:06,2018-09-04 12:37:11,5.246s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 12:37:11,2018-09-04 12:37:20,9.104s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Click ControlPanel,Chrome 68.0.3440.106,,2018-09-04 12:37:20,2018-09-04 12:37:49,28.698s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 12:37:20,2018-09-04 12:37:26,5.572s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-04 12:37:26,2018-09-04 12:37:27,1.156s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 12:37:27,2018-09-04 12:37:31,4.133s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 12:37:31,2018-09-04 12:37:32,0.431s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-04 12:37:32,2018-09-04 12:37:32,0.423s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 12:37:32,2018-09-04 12:37:49,16.680s,PASSED
