Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-08-31 12:21:31,2018-08-31 12:21:55,23.976s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-08-31 12:21:32,2018-08-31 12:21:39,7.068s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 12:21:32,2018-08-31 12:21:36,3.856s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-31 12:21:36,2018-08-31 12:21:37,1.169s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 12:21:37,2018-08-31 12:21:39,1.531s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-08-31 12:21:39,2018-08-31 12:21:55,15.786s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 12:21:39,2018-08-31 12:21:42,2.792s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 12:21:42,2018-08-31 12:21:55,12.832s,PASSED
