Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-20 15:32:18,2018-09-20 15:33:19,1m - 1.056s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-20 15:32:19,2018-09-20 15:33:18,59.242s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 15:32:20,2018-09-20 15:32:33,13.485s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 15:32:33,2018-09-20 15:33:06,33.301s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-20 15:33:06,2018-09-20 15:33:08,1.249s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 15:33:08,2018-09-20 15:33:09,0.777s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 15:33:09,2018-09-20 15:33:11,2.078s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 15:33:11,2018-09-20 15:33:12,1.880s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 15:33:12,2018-09-20 15:33:14,2.001s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 15:33:14,2018-09-20 15:33:15,0.490s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 15:33:15,2018-09-20 15:33:15,0.229s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 15:33:15,2018-09-20 15:33:16,0.427s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 15:33:16,2018-09-20 15:33:16,0.339s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 15:33:16,2018-09-20 15:33:16,0.227s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 15:33:16,2018-09-20 15:33:18,2.005s,PASSED
