Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-20 21:29:16,2018-09-20 21:29:37,20.451s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-20 21:29:17,2018-09-20 21:29:36,19.093s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 21:29:17,2018-09-20 21:29:22,5.015s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 21:29:22,2018-09-20 21:29:27,4.633s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-20 21:29:27,2018-09-20 21:29:28,1.158s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 21:29:28,2018-09-20 21:29:28,0.249s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 21:29:28,2018-09-20 21:29:30,2.038s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 21:29:30,2018-09-20 21:29:30,0.358s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 21:29:30,2018-09-20 21:29:32,2.005s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 21:29:32,2018-09-20 21:29:33,0.319s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 21:29:33,2018-09-20 21:29:33,0.203s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 21:29:33,2018-09-20 21:29:33,0.315s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 21:29:33,2018-09-20 21:29:33,0.311s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 21:29:33,2018-09-20 21:29:34,0.118s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 21:29:34,2018-09-20 21:29:36,2.003s,PASSED
