Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-20 17:41:27,2018-09-20 17:42:36,1m - 9.042s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-20 17:41:28,2018-09-20 17:42:34,1m - 6.641s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 17:41:28,2018-09-20 17:41:36,8.084s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 17:41:36,2018-09-20 17:42:14,37.656s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-20 17:42:14,2018-09-20 17:42:16,2.207s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 17:42:16,2018-09-20 17:42:18,2.327s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 17:42:18,2018-09-20 17:42:21,2.367s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 17:42:21,2018-09-20 17:42:23,2.318s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 17:42:23,2018-09-20 17:42:25,2.004s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 17:42:25,2018-09-20 17:42:26,0.529s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 17:42:26,2018-09-20 17:42:26,0.969s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 17:42:26,2018-09-20 17:42:30,3.747s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 17:42:30,2018-09-20 17:42:31,0.742s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 17:42:31,2018-09-20 17:42:32,1.231s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 17:42:32,2018-09-20 17:42:34,2.003s,PASSED
