Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-20 17:44:10,2018-09-20 17:44:30,19.743s,FAILED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-20 17:44:11,2018-09-20 17:44:29,17.976s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 17:44:12,2018-09-20 17:44:17,5.394s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 17:44:17,2018-09-20 17:44:23,5.581s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-20 17:44:23,2018-09-20 17:44:24,1.187s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 17:44:24,2018-09-20 17:44:24,0.271s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 17:44:24,2018-09-20 17:44:26,2.038s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 17:44:26,2018-09-20 17:44:26,0.271s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 17:44:26,2018-09-20 17:44:28,2.004s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 17:44:28,2018-09-20 17:44:29,0.751s,FAILED
