Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-20 22:17:57,2018-09-20 22:18:14,17.157s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-20 22:17:57,2018-09-20 22:18:13,16.008s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 22:17:58,2018-09-20 22:18:01,3.556s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 22:18:01,2018-09-20 22:18:04,3.078s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-20 22:18:04,2018-09-20 22:18:06,1.156s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 22:18:06,2018-09-20 22:18:06,0.276s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 22:18:06,2018-09-20 22:18:08,2.039s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 22:18:08,2018-09-20 22:18:08,0.281s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 22:18:08,2018-09-20 22:18:10,2.006s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 22:18:10,2018-09-20 22:18:11,0.295s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 22:18:11,2018-09-20 22:18:11,0.203s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 22:18:11,2018-09-20 22:18:11,0.306s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 22:18:11,2018-09-20 22:18:11,0.301s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 22:18:11,2018-09-20 22:18:11,0.081s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 22:18:11,2018-09-20 22:18:13,2.003s,PASSED
