Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-20 21:57:20,2018-09-20 21:57:41,20.681s,FAILED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-20 21:57:21,2018-09-20 21:57:40,19.360s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 21:57:21,2018-09-20 21:57:26,5.064s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 21:57:26,2018-09-20 21:57:34,7.538s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-20 21:57:34,2018-09-20 21:57:35,1.182s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 21:57:35,2018-09-20 21:57:35,0.233s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 21:57:35,2018-09-20 21:57:37,2.031s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 21:57:37,2018-09-20 21:57:37,0.295s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 21:57:37,2018-09-20 21:57:40,2.006s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 21:57:40,2018-09-20 21:57:40,0.663s,FAILED
