Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-19 17:56:21,2018-09-19 17:56:45,23.563s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-19 17:56:22,2018-09-19 17:56:44,22.349s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 17:56:22,2018-09-19 17:56:27,5.397s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 17:56:27,2018-09-19 17:56:34,6.405s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 17:56:34,2018-09-19 17:56:35,1.153s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:56:35,2018-09-19 17:56:35,0.171s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 17:56:35,2018-09-19 17:56:37,2.027s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:56:37,2018-09-19 17:56:37,0.297s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 17:56:37,2018-09-19 17:56:39,2.004s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:56:39,2018-09-19 17:56:40,0.507s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:56:40,2018-09-19 17:56:41,0.664s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 17:56:41,2018-09-19 17:56:41,0.299s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 17:56:41,2018-09-19 17:56:41,0.317s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:56:41,2018-09-19 17:56:42,0.715s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 17:56:42,2018-09-19 17:56:44,2.001s,PASSED
