Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-05 13:08:18,2018-09-05 13:09:18,1m - 0.252s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-09-05 13:08:19,2018-09-05 13:08:41,22.195s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 13:08:20,2018-09-05 13:08:38,17.849s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-05 13:08:38,2018-09-05 13:08:39,1.268s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-05 13:08:39,2018-09-05 13:08:41,2.381s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-09-05 13:08:41,2018-09-05 13:08:56,14.508s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 13:08:41,2018-09-05 13:08:46,4.886s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-05 13:08:46,2018-09-05 13:08:56,9.353s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Click ControlPanel,Chrome 68.0.3440.106,,2018-09-05 13:08:56,2018-09-05 13:09:17,20.997s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 13:08:56,2018-09-05 13:09:01,4.841s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-05 13:09:01,2018-09-05 13:09:02,1.187s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-05 13:09:02,2018-09-05 13:09:06,4.363s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 13:09:06,2018-09-05 13:09:07,0.634s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-05 13:09:07,2018-09-05 13:09:07,0.456s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:09:07,2018-09-05 13:09:17,9.351s,PASSED
