Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-08-31 11:47:22,2018-08-31 11:47:43,20.831s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-08-31 11:47:23,2018-08-31 11:47:30,7.311s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 11:47:23,2018-08-31 11:47:26,3.204s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-31 11:47:26,2018-08-31 11:47:28,1.194s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 11:47:28,2018-08-31 11:47:30,2.513s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-08-31 11:47:30,2018-08-31 11:47:42,12.256s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 11:47:30,2018-08-31 11:47:33,2.934s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 11:47:33,2018-08-31 11:47:42,9.028s,PASSED
