Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-05 13:21:24,2018-09-05 13:22:02,38.006s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-09-05 13:21:25,2018-09-05 13:21:34,8.803s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 13:21:25,2018-09-05 13:21:30,4.787s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-05 13:21:30,2018-09-05 13:21:32,1.258s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-05 13:21:32,2018-09-05 13:21:34,2.232s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-09-05 13:21:34,2018-09-05 13:21:47,13.724s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 13:21:34,2018-09-05 13:21:37,3.381s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-05 13:21:37,2018-09-05 13:21:47,10.097s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Click ControlPanel,Chrome 68.0.3440.106,,2018-09-05 13:21:47,2018-09-05 13:22:01,13.635s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 13:21:48,2018-09-05 13:21:51,3.557s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-05 13:21:51,2018-09-05 13:21:52,1.181s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-05 13:21:52,2018-09-05 13:21:54,2.018s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 13:21:54,2018-09-05 13:21:55,0.376s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-05 13:21:55,2018-09-05 13:21:55,0.462s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:21:55,2018-09-05 13:22:01,5.812s,PASSED
