Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-19 17:11:28,2018-09-19 17:12:22,54.009s,FAILED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-19 17:11:29,2018-09-19 17:12:22,52.806s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 17:11:29,2018-09-19 17:11:35,5.581s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 17:11:35,2018-09-19 17:11:40,4.843s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 17:11:40,2018-09-19 17:11:41,1.166s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:11:41,2018-09-19 17:11:41,0.191s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 17:11:41,2018-09-19 17:11:43,2.027s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:11:43,2018-09-19 17:11:43,0.213s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 17:11:43,2018-09-19 17:11:45,2.001s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:11:45,2018-09-19 17:11:46,0.215s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:11:46,2018-09-19 17:11:46,0.143s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 17:11:46,2018-09-19 17:11:46,0.206s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 17:11:46,2018-09-19 17:11:46,0.259s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:11:46,2018-09-19 17:11:46,0.084s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 17:11:46,2018-09-19 17:11:48,2.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:11:48,2018-09-19 17:12:22,33.333s,FAILED
