Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 69.0.3497.100,For regression testing  after each sprints,2018-09-24 16:50:35,2018-09-24 16:50:57,21.802s,FAILED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 69.0.3497.100,,2018-09-24 16:50:36,2018-09-24 16:50:56,19.675s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 16:50:37,2018-09-24 16:50:45,7.469s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 16:50:45,2018-09-24 16:50:51,6.661s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-24 16:50:51,2018-09-24 16:50:52,1.271s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 16:50:52,2018-09-24 16:50:53,0.793s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-24 16:50:53,2018-09-24 16:50:55,2.044s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 16:50:55,2018-09-24 16:50:56,0.627s,FAILED
