Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-08-31 00:33:45,2018-08-31 00:33:58,13.247s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-08-31 00:33:46,2018-08-31 00:33:58,12.549s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 00:33:46,2018-08-31 00:33:52,5.922s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-31 00:33:52,2018-08-31 00:33:54,1.215s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 00:33:54,2018-08-31 00:33:57,3.116s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-31 00:33:57,2018-08-31 00:33:57,0.276s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-31 00:33:57,2018-08-31 00:33:57,0.439s,PASSED
click,Chrome 68.0.3440.106,,2018-08-31 00:33:57,2018-08-31 00:33:58,0.101s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-31 00:33:58,2018-08-31 00:33:58,0.871s,PASSED
