Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-04 18:36:03,2018-09-04 18:36:43,39.649s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-09-04 18:36:04,2018-09-04 18:36:13,8.666s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 18:36:05,2018-09-04 18:36:10,5.786s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-04 18:36:10,2018-09-04 18:36:12,1.427s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 18:36:12,2018-09-04 18:36:13,0.997s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-09-04 18:36:13,2018-09-04 18:36:25,12.616s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 18:36:13,2018-09-04 18:36:17,4.285s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 18:36:17,2018-09-04 18:36:25,8.133s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Click ControlPanel,Chrome 68.0.3440.106,,2018-09-04 18:36:25,2018-09-04 18:36:42,16.606s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 18:36:25,2018-09-04 18:36:30,4.835s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-04 18:36:30,2018-09-04 18:36:31,1.144s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 18:36:31,2018-09-04 18:36:34,2.880s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 18:36:34,2018-09-04 18:36:35,0.264s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-04 18:36:35,2018-09-04 18:36:35,0.487s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 18:36:35,2018-09-04 18:36:42,6.843s,PASSED
