Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-19 17:43:50,2018-09-19 17:44:09,18.801s,FAILED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-19 17:43:50,2018-09-19 17:44:08,17.650s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 17:43:51,2018-09-19 17:43:56,5.553s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 17:43:56,2018-09-19 17:44:02,5.417s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 17:44:02,2018-09-19 17:44:03,1.165s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:44:03,2018-09-19 17:44:03,0.164s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 17:44:03,2018-09-19 17:44:05,2.027s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:44:05,2018-09-19 17:44:05,0.212s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 17:44:05,2018-09-19 17:44:07,2.006s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:44:07,2018-09-19 17:44:08,0.719s,FAILED
