Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-04 17:00:52,2018-09-04 17:01:40,48.349s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-09-04 17:00:52,2018-09-04 17:01:09,16.081s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 17:00:53,2018-09-04 17:01:05,11.768s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-04 17:01:05,2018-09-04 17:01:06,1.225s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 17:01:06,2018-09-04 17:01:09,2.527s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-09-04 17:01:09,2018-09-04 17:01:26,17.521s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 17:01:09,2018-09-04 17:01:13,4.670s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 17:01:13,2018-09-04 17:01:26,12.626s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Click ControlPanel,Chrome 68.0.3440.106,,2018-09-04 17:01:26,2018-09-04 17:01:39,13.372s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 17:01:26,2018-09-04 17:01:31,4.611s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-04 17:01:31,2018-09-04 17:01:32,1.172s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 17:01:32,2018-09-04 17:01:34,1.632s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 17:01:34,2018-09-04 17:01:34,0.482s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-04 17:01:34,2018-09-04 17:01:35,0.392s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 17:01:35,2018-09-04 17:01:39,4.843s,PASSED
