Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-08-31 11:58:37,2018-08-31 11:59:13,36.520s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-08-31 11:58:38,2018-08-31 11:58:50,12.841s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 11:58:38,2018-08-31 11:58:45,6.900s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-31 11:58:45,2018-08-31 11:58:46,1.220s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 11:58:46,2018-08-31 11:58:50,4.181s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-08-31 11:58:50,2018-08-31 11:59:12,21.975s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 11:58:51,2018-08-31 11:58:57,6.914s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 11:58:57,2018-08-31 11:59:12,14.878s,PASSED
