Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-08-31 11:36:31,2018-08-31 11:36:52,21.221s,FAILED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-08-31 11:36:31,2018-08-31 11:36:43,12.065s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 11:36:31,2018-08-31 11:36:37,5.324s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-31 11:36:37,2018-08-31 11:36:38,1.217s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 11:36:38,2018-08-31 11:36:41,3.331s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-31 11:36:41,2018-08-31 11:36:42,0.363s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-31 11:36:42,2018-08-31 11:36:43,1.480s,FAILED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-08-31 11:36:43,2018-08-31 11:36:51,8.124s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 11:36:43,2018-08-31 11:36:48,4.239s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-31 11:36:48,2018-08-31 11:36:49,1.149s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 11:36:49,2018-08-31 11:36:50,1.567s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-31 11:36:50,2018-08-31 11:36:51,1.008s,FAILED
