Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 69.0.3497.100,For regression testing  after each sprints,2018-09-27 17:52:18,2018-09-27 17:52:57,38.496s,FAILED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 69.0.3497.100,,2018-09-27 17:52:19,2018-09-27 17:52:56,37.118s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 17:52:19,2018-09-27 17:52:26,7.475s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-27 17:52:26,2018-09-27 17:52:48,21.646s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-27 17:52:48,2018-09-27 17:52:49,1.361s,PASSED
click,Chrome 69.0.3497.100,,2018-09-27 17:52:49,2018-09-27 17:52:50,0.598s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-27 17:52:50,2018-09-27 17:52:55,5.035s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-27 17:52:55,2018-09-27 17:52:56,0.613s,FAILED
