Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-08-31 20:24:13,2018-08-31 20:24:50,36.426s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-08-31 20:24:14,2018-08-31 20:24:30,16.833s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 20:24:14,2018-08-31 20:24:23,8.791s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-31 20:24:23,2018-08-31 20:24:24,1.305s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 20:24:24,2018-08-31 20:24:30,6.366s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-08-31 20:24:30,2018-08-31 20:24:48,18.021s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 20:24:31,2018-08-31 20:24:35,4.416s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 20:24:35,2018-08-31 20:24:48,13.441s,PASSED
