Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-04 12:13:28,2018-09-04 12:14:02,34.245s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-09-04 12:13:28,2018-09-04 12:13:37,9.055s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 12:13:29,2018-09-04 12:13:35,6.159s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-04 12:13:35,2018-09-04 12:13:37,1.368s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 12:13:37,2018-09-04 12:13:37,0.926s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-09-04 12:13:37,2018-09-04 12:13:49,11.890s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 12:13:38,2018-09-04 12:13:41,3.127s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 12:13:41,2018-09-04 12:13:49,8.506s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Click ControlPanel,Chrome 68.0.3440.106,,2018-09-04 12:13:49,2018-09-04 12:14:01,11.784s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 12:13:50,2018-09-04 12:13:53,2.980s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-04 12:13:53,2018-09-04 12:13:54,1.126s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 12:13:54,2018-09-04 12:13:55,1.314s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 12:13:55,2018-09-04 12:13:55,0.283s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-04 12:13:55,2018-09-04 12:13:56,0.675s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 12:13:56,2018-09-04 12:14:01,5.145s,PASSED
