Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 69.0.3497.100,For regression testing  after each sprints,2018-09-24 17:08:29,2018-09-24 17:08:48,18.532s,FAILED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 69.0.3497.100,,2018-09-24 17:08:30,2018-09-24 17:08:47,16.644s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 17:08:31,2018-09-24 17:08:38,7.319s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 17:08:38,2018-09-24 17:08:42,4.251s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-24 17:08:42,2018-09-24 17:08:44,1.178s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 17:08:44,2018-09-24 17:08:44,0.650s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-24 17:08:44,2018-09-24 17:08:46,2.039s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 17:08:46,2018-09-24 17:08:47,0.574s,FAILED
