Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-19 16:53:47,2018-09-19 16:54:50,1m - 2.936s,FAILED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-19 16:53:48,2018-09-19 16:54:49,1m - 1.630s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 16:53:48,2018-09-19 16:53:55,7.021s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 16:53:55,2018-09-19 16:54:07,11.974s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 16:54:07,2018-09-19 16:54:08,1.149s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:54:08,2018-09-19 16:54:08,0.172s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 16:54:08,2018-09-19 16:54:10,2.034s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:54:10,2018-09-19 16:54:10,0.220s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 16:54:10,2018-09-19 16:54:12,2.003s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:54:12,2018-09-19 16:54:13,0.202s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:54:13,2018-09-19 16:54:13,0.148s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 16:54:13,2018-09-19 16:54:13,0.256s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 16:54:13,2018-09-19 16:54:13,0.239s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:54:13,2018-09-19 16:54:13,0.115s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 16:54:13,2018-09-19 16:54:15,2.006s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:54:15,2018-09-19 16:54:49,33.693s,FAILED
