Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-20 22:07:35,2018-09-20 22:07:54,18.840s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-20 22:07:36,2018-09-20 22:07:53,17.529s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 22:07:36,2018-09-20 22:07:41,4.678s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 22:07:41,2018-09-20 22:07:45,3.722s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-20 22:07:45,2018-09-20 22:07:46,1.178s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 22:07:46,2018-09-20 22:07:46,0.236s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 22:07:46,2018-09-20 22:07:48,2.035s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 22:07:48,2018-09-20 22:07:48,0.264s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 22:07:48,2018-09-20 22:07:50,2.005s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 22:07:50,2018-09-20 22:07:51,0.292s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 22:07:51,2018-09-20 22:07:51,0.155s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 22:07:51,2018-09-20 22:07:51,0.234s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 22:07:51,2018-09-20 22:07:51,0.255s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 22:07:51,2018-09-20 22:07:51,0.079s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-20 22:07:51,2018-09-20 22:07:53,2.003s,PASSED
