Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 69.0.3497.100,For regression testing  after each sprints,2018-09-27 12:33:12,2018-09-27 12:33:30,18.163s,FAILED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 69.0.3497.100,,2018-09-27 12:33:13,2018-09-27 12:33:29,16.422s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 12:33:13,2018-09-27 12:33:17,4.351s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-27 12:33:17,2018-09-27 12:33:22,4.110s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-27 12:33:22,2018-09-27 12:33:23,1.193s,PASSED
click,Chrome 69.0.3497.100,,2018-09-27 12:33:23,2018-09-27 12:33:23,0.609s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-27 12:33:23,2018-09-27 12:33:28,5.031s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-27 12:33:28,2018-09-27 12:33:29,0.595s,FAILED
