Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-08-31 01:02:02,2018-08-31 01:03:05,1m - 3.035s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-08-31 01:02:02,2018-08-31 01:03:05,1m - 2.452s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 01:02:03,2018-08-31 01:02:08,5.466s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-31 01:02:08,2018-08-31 01:02:10,1.432s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 01:02:10,2018-08-31 01:02:12,2.312s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-31 01:02:12,2018-08-31 01:02:12,0.251s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-31 01:02:12,2018-08-31 01:02:13,0.329s,PASSED
click,Chrome 68.0.3440.106,,2018-08-31 01:02:13,2018-08-31 01:03:04,51.106s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-31 01:03:04,2018-08-31 01:03:05,0.860s,PASSED
