Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-19 17:35:33,2018-09-19 17:35:49,16.638s,FAILED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-19 17:35:33,2018-09-19 17:35:49,15.545s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 17:35:33,2018-09-19 17:35:39,5.083s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 17:35:39,2018-09-19 17:35:42,3.924s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 17:35:42,2018-09-19 17:35:44,1.147s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:35:44,2018-09-19 17:35:44,0.173s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 17:35:44,2018-09-19 17:35:46,2.025s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:35:46,2018-09-19 17:35:46,0.206s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 17:35:46,2018-09-19 17:35:48,2.004s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:35:48,2018-09-19 17:35:49,0.576s,FAILED
