Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-08-31 11:50:14,2018-08-31 11:50:36,22.643s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-08-31 11:50:14,2018-08-31 11:50:23,8.456s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 11:50:15,2018-08-31 11:50:19,4.054s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-31 11:50:19,2018-08-31 11:50:20,1.274s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 11:50:20,2018-08-31 11:50:23,2.402s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-08-31 11:50:23,2018-08-31 11:50:36,12.763s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-31 11:50:23,2018-08-31 11:50:26,3.093s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-31 11:50:26,2018-08-31 11:50:36,9.466s,PASSED
