Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-19 20:13:16,2018-09-19 20:13:38,22.169s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-19 20:13:16,2018-09-19 20:13:37,20.845s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 20:13:17,2018-09-19 20:13:22,5.445s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 20:13:22,2018-09-19 20:13:28,5.879s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 20:13:28,2018-09-19 20:13:29,1.176s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 20:13:29,2018-09-19 20:13:30,0.347s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 20:13:30,2018-09-19 20:13:32,2.032s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 20:13:32,2018-09-19 20:13:32,0.313s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 20:13:32,2018-09-19 20:13:34,2.005s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 20:13:34,2018-09-19 20:13:34,0.320s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 20:13:34,2018-09-19 20:13:34,0.160s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 20:13:34,2018-09-19 20:13:35,0.292s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 20:13:35,2018-09-19 20:13:35,0.307s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 20:13:35,2018-09-19 20:13:35,0.117s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 20:13:35,2018-09-19 20:13:37,2.004s,PASSED
