Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-19 16:34:52,2018-09-19 16:35:27,34.334s,FAILED
,,,,,,
Test Cases/Common TestCases/TC2_Verify Add Emloyee,Chrome 68.0.3440.106,,2018-09-19 16:34:53,2018-09-19 16:35:26,32.832s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 16:34:53,2018-09-19 16:35:03,9.787s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 16:35:03,2018-09-19 16:35:19,15.986s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 16:35:19,2018-09-19 16:35:20,1.156s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:35:20,2018-09-19 16:35:21,0.248s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 16:35:21,2018-09-19 16:35:23,2.025s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:35:23,2018-09-19 16:35:23,0.288s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 16:35:23,2018-09-19 16:35:25,2.005s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:35:25,2018-09-19 16:35:25,0.165s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:35:25,2018-09-19 16:35:26,0.581s,FAILED
